protocol_name,row_number,module_name,question_text,condition,disposition,stop_rule
Stroke / Neurological Emergency,33,Determinant Assignment,BRAVO-level: Known TIA history with recurrent mild symptoms,TIA history AND mild symptoms,3,CONTINUE
Stroke / Neurological Emergency,34,Determinant Assignment,"ALPHA-level: Mild headache with numbness, fully resolved, no deficits on exam",resolved symptoms AND normal exam,4,CONTINUE
Stroke / Neurological Emergency,35,Determinant Assignment,"OMEGA-level: Chronic stable neurological complaint, no acute changes, physician follow-up",chronic stable AND no acute changes,5,CONTINUE
Stroke / Neurological Emergency,36,Pre-Arrival Instructions,Note the exact time the symptoms started — this is critical for treatment decisions.,all stroke dispositions,,CONTINUE
Stroke / Neurological Emergency,37,Pre-Arrival Instructions,Do NOT give the patient anything to eat or drink. Stroke can affect swallowing.,all stroke dispositions,,CONTINUE
Stroke / Neurological Emergency,38,Pre-Arrival Instructions,Keep the patient lying flat with the head slightly elevated. Do NOT sit them fully upright.,conscious patient,,CONTINUE
Stroke / Neurological Emergency,39,Pre-Arrival Instructions,Do NOT give aspirin or any medication. The type of stroke must be determined first.,all stroke dispositions,,CONTINUE
Stroke / Neurological Emergency,40,Pre-Arrival Instructions,"If the patient vomits, turn them on their side to keep the airway clear.",vomiting,,CONTINUE
Stroke / Neurological Emergency,41,Pre-Arrival Instructions,Keep the patient calm and still. Do not let them walk.,all dispositions,,CONTINUE
Stroke / Neurological Emergency,42,Pre-Arrival Instructions,"If the patient becomes unconscious and stops breathing, begin CPR.",patient becomes unresponsive,,ELEVATE
Stroke / Neurological Emergency,43,Pre-Arrival Instructions,Gather all medications — especially blood thinners — and have them ready for paramedics.,all dispositions,,CONTINUE
Stroke / Neurological Emergency,44,Case Exit,Stay on the line. Help is on the way. Time is critical.,dispatch confirmed,,CONTINUE
Stroke / Neurological Emergency,45,Case Exit,"If anything changes — new symptoms, loss of consciousness, or s/he stops breathing — call us back immediately.",all dispositions,,CONTINUE
